название,куплено,сумма_руб,категория,весовой,бренд,фасовка,жирность,не_хватает,запрос,магазины
"ПЕЧЕНЬЕ АРХИЕРЕЙСКОЕ С ГРЕЦКИМ ОРЕХОМ,ШТ",6,690,Сухофрукты и орехи,,,,,"бренд, фасовка","сухофрукты и орехи ""ПЕЧЕНЬЕ АРХИЕРЕЙСКОЕ С ГРЕЦКИМ ОРЕХОМ,ШТ"" производитель вес упаковки",ВкусВилл
"СМЕТАНА 20%,ШТ",6,658,Сметана,,,,20%,"бренд, фасовка","сметана 20% ""СМЕТАНА 20%,ШТ"" производитель вес упаковки",ВкусВилл
"МОЛОКО ЦЕЛ.3,6 950Г",6,853,Молоко,,,0.95кг,,"бренд, жирность","молоко ""МОЛОКО ЦЕЛ.3,6 950Г"" какая марка",Глобус
ФИЛЕ БОЛЬШОЕ ВЕС,6,2050,,да,,,,категория,"""ФИЛЕ БОЛЬШОЕ ВЕС"" что за товар",Глобус
САХАР МИСТРАЛЬ 500Г,6,1276,Сахар и соль,,,0.5кг,,бренд,"сахар и соль ""САХАР МИСТРАЛЬ 500Г"" какая марка",Глобус
ШОК ШОГЕТ ТЕМНЫЙ 100,6,1359,Выпечка и сладкое,,,0.1кг,,бренд,"выпечка и сладкое ""ШОК ШОГЕТ ТЕМНЫЙ 100"" какая марка",Глобус
МОЛ.НАШЕЙ ДОЙКИ 1Л,6,894,Молоко,,,1л,,"бренд, жирность","молоко ""МОЛ.НАШЕЙ ДОЙКИ 1Л"" какая марка",Глобус
ХЛОПЬЯ ОВСЯНЫЕ 500Г,6,538,Крупы и макароны,,,0.5кг,,бренд,"крупы и макароны ""ХЛОПЬЯ ОВСЯНЫЕ 500Г"" какая марка",Глобус
Т/Б ГЛОБУС 16РУЛ 3СЛ,6,1698,,,Глобус,,,"категория, фасовка",Глобус вес упаковки грамм купить,Глобус
"КЕФИР 1% В БУТЫЛКЕ,ШТ",6,476,Кефир и кисломолочное,,,,1%,"бренд, фасовка","кефир и кисломолочное 1% ""КЕФИР 1% В БУТЫЛКЕ,ШТ"" производитель вес упаковки",ВкусВилл
АБРИКОСЫ ШАЛАХ ВЕС,6,1251,,да,,,,категория,"""АБРИКОСЫ ШАЛАХ ВЕС"" что за товар",Глобус
